POP	Continent	FILE	Pi	Watterson	Tajima_D
NY_it_12_spring	North America	SNAPE	0.005466	0.005469	-0.000821
ON_su_15_fall	North America	SNAPE	0.005531	0.005584	-0.034916
ON_su_15_spring	North America	SNAPE	0.005207	0.004247	0.804125
PA_li_09_fall	North America	SNAPE	0.005539	0.005585	-0.030097
PA_li_09_spring	North America	SNAPE	0.005468	0.005201	0.185283
PA_li_10_fall	North America	SNAPE	0.005605	0.005623	-0.007498
PA_li_10_spring	North America	SNAPE	0.006045	0.006120	-0.066360
PA_li_11_fall	North America	SNAPE	0.009918	0.016870	-1.750063
PA_li_11_frost	North America	SNAPE	0.005583	0.005627	-0.023659
PA_li_11_spring	North America	SNAPE	0.005544	0.005549	0.008648
PA_li_12_fall	North America	SNAPE	0.005527	0.005594	-0.064944
PA_li_12_spring	North America	SNAPE	0.005582	0.005605	-0.011928
PA_li_12_sum	North America	SNAPE	0.005537	0.005582	-0.032641
PA_li_13_spring	North America	SNAPE	0.005468	0.005258	0.164795
PA_li_14_fall	North America	SNAPE	0.005639	0.005751	-0.074712
PA_li_14_spring	North America	SNAPE	0.005657	0.005756	-0.073035
PA_li_15_fall	North America	SNAPE	0.005596	0.005619	-0.014116
PA_li_15_spring	North America	SNAPE	0.005484	0.005405	0.044262
PA_st_14_fall	North America	SNAPE	0.005612	0.005658	-0.035125
PA_st_14_spring	North America	SNAPE	0.005393	0.005136	0.192296
PA_st_15_spring	North America	SNAPE	0.005528	0.005561	-0.026044
PO_Brz_15_12	Europe	SNAPE	0.004978	0.004924	0.052303
PO_Brz_16_17	Europe	SNAPE	0.004933	0.004906	0.026617
PO_Gda_16_16	Europe	SNAPE	0.004828	0.004646	0.171791
PT_Rec_14_33	Europe	SNAPE	0.005076	0.005313	-0.206100
PT_Rec_15_16	Europe	SNAPE	0.005410	0.005489	-0.049201
PT_Rec_16_18	Europe	SNAPE	0.005311	0.005632	-0.226073
RAL	North America	SNAPE	NA	NA	NA
RG	Africa	SNAPE	NA	NA	NA
RS_Kal_16_28	Europe	SNAPE	0.004495	0.004392	0.107865
RS_Kal_16_29	Europe	SNAPE	0.004632	0.004609	0.035511
RS_Sla_16_30	Europe	SNAPE	0.004593	0.004538	0.069292
RS_Sla_16_31	Europe	SNAPE	0.004539	0.004478	0.076076
RU_Ale_15_55	Europe	SNAPE	0.003821	0.002984	1.314065
RU_Ale_16_22	Europe	SNAPE	0.005051	0.005110	-0.042731
RU_tul_15_37	Europe	SNAPE	0.004535	0.004209	0.314405
RU_Val_14_51	Europe	SNAPE	0.006920	0.009766	-1.236841
RU_val_15_36	Europe	SNAPE	0.004856	0.004468	0.393195
RU_val_15_38	Europe	SNAPE	0.004656	0.004161	0.521431
RU_Val_16_19	Europe	SNAPE	0.004936	0.005001	-0.044248
RU_Val_16_20	Europe	SNAPE	0.004796	0.004787	0.019044
RU_Val_16_21	Europe	SNAPE	0.004210	0.003499	0.856289
SB	Africa	SNAPE	NA	NA	NA
SC_eu_10_spring	North America	SNAPE	0.005712	0.005554	0.118798
SD	Africa	SNAPE	NA	NA	NA
SE_Lun_14_30	Europe	SNAPE	0.005082	0.005120	-0.031724
SE_Lun_15_14	Europe	SNAPE	0.005123	0.005101	0.022749
SE_Lun_15_15	Europe	SNAPE	0.004879	0.004720	0.146453
SP	Africa	SNAPE	NA	NA	NA
T	Australia	SNAPE	NA	NA	NA
TR_Yes_14_03	Europe	SNAPE	0.007774	0.010300	-1.353702
TR_Yes_14_04	Europe	SNAPE	0.006972	0.008930	-1.125840
TR_Yes_15_3	Europe	SNAPE	0.004953	0.004898	0.059016
TR_Yes_15_4	Europe	SNAPE	0.005105	0.005077	0.042304
TR_Yes_15_5	Europe	SNAPE	0.005128	0.005175	-0.026254
TR_Yes_15_6	Europe	SNAPE	0.005167	0.005110	0.051086
TR_Yes_15_7	Europe	SNAPE	0.005530	0.005618	-0.248419
TR_Yes_15_8	Europe	SNAPE	0.005084	0.005198	-0.077323
TR_Yes_16_39	Europe	SNAPE	0.005063	0.005195	-0.103747
TR_Yes_16_40	Europe	SNAPE	0.004978	0.005078	-0.076268
TR_Yes_16_41	Europe	SNAPE	0.005097	0.005286	-0.138923
TR_Yes_16_42	Europe	SNAPE	0.005196	0.005323	-0.097083
TR_Yes_16_43	Europe	SNAPE	0.005189	0.005349	-0.119030
TR_Yes_16_52	Europe	SNAPE	0.004981	0.005023	-0.030811
UA_Che_14_28	Europe	SNAPE	0.004895	0.004833	0.062845
UA_Che_14_29	Europe	SNAPE	0.004945	0.004904	0.045557
UA_Che_14_47	Europe	SNAPE	0.006230	0.007609	-0.849588
UA_Che_14_48	Europe	SNAPE	0.006208	0.007506	-0.835169
UA_Cho_15_24	Europe	SNAPE	0.004923	0.004902	0.036411
UA_Cho_15_25	Europe	SNAPE	0.003729	0.002663	1.630270
UA_Cho_15_26	Europe	SNAPE	0.004993	0.004976	0.028252
UA_Cho_15_27	Europe	SNAPE	0.004845	0.004675	0.162990
UA_Cho_15_65	Europe	SNAPE	0.004837	0.004964	-0.094422
UA_Cho_15_67	Europe	SNAPE	0.004927	0.004994	-0.043384
UA_Cho_15_68	Europe	SNAPE	0.004881	0.004988	-0.076957
UA_Cho_15_69	Europe	SNAPE	0.004863	0.004953	-0.064685
UA_Cho_15_70	Europe	SNAPE	0.004904	0.005005	-0.073540
UA_Cho_16_54	Europe	SNAPE	0.004973	0.005024	-0.032699
UA_Cho_16_55	Europe	SNAPE	0.004936	0.004950	-0.004054
UA_Cho_16_62	Europe	SNAPE	0.005024	0.005096	-0.054589
UA_Dro_14_27	Europe	SNAPE	0.004730	0.004677	0.066753
UA_Dro_15_10	Europe	SNAPE	0.004776	0.004676	0.109735
UA_Dro_16_56	Europe	SNAPE	0.004726	0.004728	0.016146
UA_Kan_16_57	Europe	SNAPE	0.004831	0.004908	-0.047069
UA_Kha_14_45	Europe	SNAPE	0.006205	0.007545	-0.834126
UA_Kha_14_46	Europe	SNAPE	0.005996	0.007117	-0.743598
UA_Kha_15_19	Europe	SNAPE	0.005009	0.005007	0.015380
UA_Kha_16_58	Europe	SNAPE	0.004959	0.005046	-0.061525
UA_Kyi_14_23	Europe	SNAPE	0.004900	0.004856	0.056260
UA_Kyi_14_24	Europe	SNAPE	0.004962	0.004924	0.050767
UA_Kyi_14_49	Europe	SNAPE	0.006228	0.007390	-0.818742
UA_Kyi_15_64	Europe	SNAPE	0.004970	0.005036	-0.045764
UA_Kyi_16_44	Europe	SNAPE	0.004959	0.005040	-0.057604
UA_Kyi_16_45	Europe	SNAPE	0.005024	0.005102	-0.058969
UA_Kyi_16_59	Europe	SNAPE	0.004929	0.005029	-0.071039
UA_od_13_fall	Europe	SNAPE	0.005088	0.005201	-0.095881
UA_od_13_spring	Europe	SNAPE	0.005186	0.005401	-0.173728
UA_Ode_14_19	Europe	SNAPE	0.004725	0.004637	0.096633
UA_Ode_14_20	Europe	SNAPE	0.004769	0.004663	0.121912
UA_Ode_14_21	Europe	SNAPE	0.004897	0.004880	0.033372
UA_Ode_14_22	Europe	SNAPE	0.005002	0.004943	0.062248
UA_Ode_15_11	Europe	SNAPE	0.005114	0.005182	-0.040581
UA_Ode_15_20	Europe	SNAPE	0.004751	0.004699	0.065337
UA_Ode_15_22	Europe	SNAPE	0.004881	0.004895	0.009580
UA_Ode_15_66	Europe	SNAPE	0.004793	0.004789	0.019916
UA_Ode_16_46	Europe	SNAPE	0.004662	0.004736	-0.050418
UA_Ode_16_47	Europe	SNAPE	0.004735	0.004771	-0.015915
UA_Pyr_14_26	Europe	SNAPE	0.004865	0.004879	0.000459
UA_Pyr_15_21	Europe	SNAPE	0.004975	0.004956	0.035419
UA_Pir_16_48	Europe	SNAPE	0.004626	0.004631	0.009159
UA_Pyr_16_49	Europe	SNAPE	0.004975	0.005098	-0.086917
UA_Uma_14_50	Europe	SNAPE	0.006024	0.007274	-0.829500
UA_Uma_15_9	Europe	SNAPE	0.004842	0.004793	0.062954
UA_Uma_16_50	Europe	SNAPE	0.004840	0.004841	0.015328
UA_Uma_16_51	Europe	SNAPE	0.004874	0.004895	-0.000073
UA_Var_14_25	Europe	SNAPE	0.004984	0.004931	0.058177
UA_Var_15_18	Europe	SNAPE	0.005041	0.005014	0.040680
UA_Var_16_60	Europe	SNAPE	0.004922	0.004994	-0.046275
UA_Yal_14_16	Europe	SNAPE	0.004734	0.004567	0.160224
UA_Yal_14_18	Europe	SNAPE	0.004844	0.004747	0.098148
UA_Yal_15_23	Europe	SNAPE	0.004852	0.004778	0.096166
UA_Yal_15_63	Europe	SNAPE	0.004773	0.004825	-0.029494
UA_Yal_16_61	Europe	SNAPE	0.004638	0.004594	0.051143
UK	Africa	SNAPE	NA	NA	NA
UK_Dai_15_52	Europe	SNAPE	0.004611	0.004079	0.543540
UK_Dai_16_23	Europe	SNAPE	0.004883	0.004896	-0.008224
UK_Lut_14_13	Europe	SNAPE	0.005046	0.005097	-0.046397
UK_Mar_14_12	Europe	SNAPE	0.004918	0.004822	0.065475
UK_Mar_15_42	Europe	SNAPE	0.004936	0.004919	0.018868
UK_Mar_16_53	Europe	SNAPE	0.005016	0.005229	-0.166733
UK_She_14_09	Europe	SNAPE	0.006543	0.006898	-0.696537
UK_She_15_17	Europe	SNAPE	0.004997	0.004621	0.345532
UK_Sou_14_10	Europe	SNAPE	0.006267	0.007534	-0.808972
VA_ch_12_fall	North America	SNAPE	0.005552	0.005683	-0.105517
VA_ch_12_spring	North America	SNAPE	0.005501	0.005453	0.042846
VA_ch_14_fall	North America	SNAPE	0.005530	0.005398	0.091464
VA_ch_14_spring	North America	SNAPE	0.005542	0.005484	0.039763
VA_ch_15_fall	North America	SNAPE	0.005560	0.005463	0.063373
VA_ch_15_spring	North America	SNAPE	0.005509	0.005451	0.036590
W	North America	SNAPE	NA	NA	NA
WA_se_14_spring	North America	SNAPE	0.005283	0.005389	-0.069176
WI_cp_12_fall	North America	SNAPE	0.005420	0.005505	-0.066222
WI_cp_12_frost	North America	SNAPE	0.005402	0.005504	-0.083138
WI_cp_12_spring	North America	SNAPE	0.005282	0.005279	-0.002034
WI_cp_13_fall	North America	SNAPE	0.005559	0.005681	-0.089477
WI_cp_13_spring	North America	SNAPE	0.005687	0.006144	-0.283552
WI_cp_14_fall	North America	SNAPE	0.005509	0.005645	-0.090026
WI_cp_14_spring	North America	SNAPE	0.005434	0.005068	0.289602
ZI	Africa	SNAPE	NA	NA	NA
ZW	Africa	SNAPE	NA	NA	NA
